iter	Passed	Remaining
0	443	442992
1	493	246060
2	520	173007
3	539	134453
4	557	110893
5	575	95303
6	591	83897
7	606	75241
8	622	68519
9	638	63206
10	655	58923
11	671	55309
12	689	52317
13	706	49774
14	721	47373
15	736	45303
16	753	43549
17	769	41969
18	786	40584
19	801	39262
20	818	38156
21	835	37122
22	851	36189
23	868	35304
24	883	34465
25	901	33782
26	919	33135
27	935	32465
28	953	31909
29	969	31357
30	986	30843
31	1003	30358
32	1019	29886
33	1035	29421
34	1052	29009
35	1068	28613
36	1083	28200
37	1098	27797
38	1114	27460
39	1130	27137
40	1146	26819
41	1162	26516
42	1178	26231
43	1194	25946
44	1210	25681
45	1226	25432
46	1242	25203
47	1259	24973
48	1275	24756
49	1291	24545
50	1308	24345
51	1324	24147
52	1340	23958
53	1357	23777
54	1373	23604
55	1389	23424
56	1406	23260
57	1422	23107
58	1437	22931
59	1454	22783
60	1470	22635
61	1486	22493
62	1503	22357
63	1519	22220
64	1535	22084
65	1553	21979
66	1569	21859
67	1586	21738
68	1602	21622
69	1618	21505
70	1635	21394
71	1651	21289
72	1667	21181
73	1685	21096
74	1701	20989
75	1716	20867
76	1731	20760
77	1748	20668
78	1765	20578
79	1781	20481
80	1797	20391
81	1813	20302
82	1830	20219
83	1845	20124
84	1861	20036
85	1877	19955
86	1893	19872
87	1909	19793
88	1926	19715
89	1942	19638
90	1958	19565
91	1974	19490
92	1991	19420
93	2007	19351
94	2022	19266
95	2038	19196
96	2054	19125
97	2070	19056
98	2086	18992
99	2102	18925
100	2118	18859
101	2134	18793
102	2149	18718
103	2165	18657
104	2181	18595
105	2195	18520
106	2212	18462
107	2228	18409
108	2245	18355
109	2262	18307
110	2278	18250
111	2294	18192
112	2310	18136
113	2326	18080
114	2342	18025
115	2358	17972
116	2374	17916
117	2390	17868
118	2406	17816
119	2422	17765
120	2438	17715
121	2454	17663
122	2470	17612
123	2486	17563
124	2500	17505
125	2517	17459
126	2533	17413
127	2549	17369
128	2566	17328
129	2583	17288
130	2599	17243
131	2615	17197
132	2631	17153
133	2647	17110
134	2664	17071
135	2682	17041
136	2698	17001
137	2715	16962
138	2730	16910
139	2746	16868
140	2761	16825
141	2778	16785
142	2793	16742
143	2810	16705
144	2829	16685
145	2846	16651
146	2862	16611
147	2878	16570
148	2894	16530
149	2910	16493
150	2928	16463
151	2944	16428
152	2961	16393
153	2977	16358
154	2994	16324
155	3010	16285
156	3026	16248
157	3042	16212
158	3058	16178
159	3074	16142
160	3090	16106
161	3106	16070
162	3122	16032
163	3138	15997
164	3154	15962
165	3170	15929
166	3186	15896
167	3204	15871
168	3220	15836
169	3236	15801
170	3252	15766
171	3267	15727
172	3282	15693
173	3299	15663
174	3315	15629
175	3332	15600
176	3348	15567
177	3364	15536
178	3381	15508
179	3400	15489
180	3416	15458
181	3433	15431
182	3449	15398
183	3465	15369
184	3482	15339
185	3499	15313
186	3515	15283
187	3531	15254
188	3548	15225
189	3564	15194
190	3580	15163
191	3596	15135
192	3612	15105
193	3628	15076
194	3644	15045
195	3660	15017
196	3678	14992
197	3693	14960
198	3708	14928
199	3724	14899
200	3741	14871
201	3757	14844
202	3774	14820
203	3790	14790
204	3806	14763
205	3823	14735
206	3838	14706
207	3854	14674
208	3870	14650
209	3887	14623
210	3903	14594
211	3918	14566
212	3936	14542
213	3952	14517
214	3968	14489
215	3984	14461
216	4001	14436
217	4017	14409
218	4033	14382
219	4049	14356
220	4065	14329
221	4081	14303
222	4097	14277
223	4114	14252
224	4130	14228
225	4147	14204
226	4163	14179
227	4181	14157
228	4197	14132
229	4213	14106
230	4230	14082
231	4246	14058
232	4263	14033
233	4279	14008
234	4295	13982
235	4311	13956
236	4326	13930
237	4345	13911
238	4361	13887
239	4378	13864
240	4394	13838
241	4409	13812
242	4426	13789
243	4442	13763
244	4457	13735
245	4473	13710
246	4488	13684
247	4504	13657
248	4520	13633
249	4535	13606
250	4550	13580
251	4567	13556
252	4583	13532
253	4599	13507
254	4614	13482
255	4629	13455
256	4646	13432
257	4663	13412
258	4679	13387
259	4695	13364
260	4712	13341
261	4727	13315
262	4742	13290
263	4758	13265
264	4773	13240
265	4789	13216
266	4805	13192
267	4821	13168
268	4836	13142
269	4852	13118
270	4868	13095
271	4883	13070
272	4899	13046
273	4915	13025
274	4932	13002
275	4947	12979
276	4964	12957
277	4980	12934
278	4996	12911
279	5012	12890
280	5029	12868
281	5044	12844
282	5060	12819
283	5075	12795
284	5090	12771
285	5107	12750
286	5123	12727
287	5139	12706
288	5154	12681
289	5170	12659
290	5187	12639
291	5203	12617
292	5219	12594
293	5234	12569
294	5250	12546
295	5266	12525
296	5282	12502
297	5298	12480
298	5312	12456
299	5329	12434
300	5345	12412
301	5361	12391
302	5378	12371
303	5394	12350
304	5411	12330
305	5426	12306
306	5442	12284
307	5457	12261
308	5473	12240
309	5488	12217
310	5504	12195
311	5520	12173
312	5536	12153
313	5552	12131
314	5569	12111
315	5585	12089
316	5600	12067
317	5617	12047
318	5633	12025
319	5650	12006
320	5667	11988
321	5683	11967
322	5699	11946
323	5715	11924
324	5731	11903
325	5747	11882
326	5763	11862
327	5779	11840
328	5795	11819
329	5810	11797
330	5827	11777
331	5843	11757
332	5858	11734
333	5874	11713
334	5890	11692
335	5907	11673
336	5922	11652
337	5938	11631
338	5955	11611
339	5970	11589
340	5986	11569
341	6001	11547
342	6017	11526
343	6033	11505
344	6049	11484
345	6063	11461
346	6079	11441
347	6094	11418
348	6110	11398
349	6127	11379
350	6143	11358
351	6159	11338
