iter	Logloss
0	0.5976412174
1	0.5302908136
2	0.4801910963
3	0.4439693248
4	0.4159012948
5	0.394506194
6	0.3783138736
7	0.3651722812
8	0.3582141748
9	0.3499210927
10	0.3435115135
11	0.338334932
12	0.333984606
13	0.330202878
14	0.3277995008
15	0.3256356761
16	0.3240883886
17	0.322710199
18	0.3214289395
19	0.3207265468
20	0.3196706131
21	0.3186797326
22	0.3180351005
23	0.3173719254
24	0.3170050793
25	0.3164908326
26	0.3161746326
27	0.3157465756
28	0.3155353586
29	0.3150898366
30	0.3148507582
31	0.3145752531
32	0.3143310884
33	0.3141858171
34	0.3140115176
35	0.3138549598
36	0.3136633732
37	0.313493248
38	0.313381266
39	0.3132513065
40	0.3131551679
41	0.3130289978
42	0.3129536398
43	0.3128373872
44	0.3127706498
45	0.3126929099
46	0.3126331908
47	0.312539273
48	0.3124443085
49	0.3123773787
50	0.3123033897
51	0.3122508669
52	0.3121630122
53	0.3120812519
54	0.312011815
55	0.3119402584
56	0.31186811
57	0.3118408646
58	0.3117762108
59	0.3117176177
60	0.3116653765
61	0.31162261
62	0.3115802959
63	0.3115287018
64	0.3114947389
65	0.3114492945
66	0.3113999934
67	0.3113504853
68	0.3113220513
69	0.3112539257
70	0.3112114287
71	0.311162154
72	0.3111318843
73	0.3110878354
74	0.3110575705
75	0.3110200322
76	0.3109876837
77	0.3109585784
78	0.3109384018
79	0.3109049585
80	0.3108589945
81	0.3108238309
82	0.3107634935
83	0.3107260587
84	0.3106959237
85	0.3106531909
86	0.3106153471
87	0.3105641717
88	0.3105283152
89	0.3105038751
90	0.310478107
91	0.3104535442
92	0.3104192469
93	0.3103902811
94	0.3103541841
95	0.3103223336
96	0.3102990027
97	0.3102690481
98	0.3102448944
99	0.3102230889
100	0.3101797835
101	0.3101392113
102	0.3101207718
103	0.3100884136
104	0.3100468501
105	0.3100101564
106	0.3099647866
107	0.3099481516
108	0.3099172081
109	0.30988069
110	0.3098515318
111	0.3098282707
112	0.3098040111
113	0.3097740662
114	0.3097482282
115	0.3097351012
116	0.309701706
117	0.3096609341
118	0.309633667
119	0.3096002069
120	0.3095718186
121	0.3095389697
122	0.3095209632
123	0.3094996029
124	0.3094554313
125	0.3094233811
126	0.3093919444
127	0.3093523178
128	0.3093167019
129	0.3092944321
130	0.3092601539
131	0.3092351436
132	0.3091991548
133	0.3091739232
134	0.3091470459
135	0.3091150294
136	0.309085058
137	0.3090529741
138	0.3090257696
139	0.3090038173
140	0.3089743536
141	0.3089420195
142	0.3089147524
143	0.3088909235
144	0.308864306
145	0.3088421925
146	0.3088109941
147	0.3087873143
148	0.3087649506
149	0.3087424979
150	0.308719487
151	0.3086832456
152	0.3086640458
153	0.3086341634
154	0.3086061288
155	0.3085796172
156	0.3085521745
157	0.3085280544
158	0.30850424
159	0.3084783395
160	0.308465376
161	0.3084275442
162	0.308397746
163	0.3083843254
164	0.3083530499
165	0.3083308643
166	0.3083053031
167	0.3082759139
168	0.3082518107
169	0.3082261267
170	0.3081876574
171	0.3081633015
172	0.308123314
173	0.3080934099
174	0.3080757476
175	0.308047737
176	0.3080226257
177	0.3080048262
178	0.3079783964
179	0.3079647689
180	0.3079414308
181	0.3079216752
182	0.3079033776
183	0.3078637221
184	0.3078395395
185	0.3078283083
186	0.3077914341
187	0.3077475729
188	0.3077234312
189	0.3076921124
190	0.307671202
191	0.307640451
192	0.3076188789
193	0.3075909261
194	0.307566859
195	0.3075284257
196	0.3075036873
197	0.307472241
198	0.3074401764
199	0.307416807
200	0.3073939621
201	0.3073716875
202	0.3073437804
203	0.3073125314
204	0.3072983866
205	0.3072784433
206	0.3072495498
207	0.3072310141
208	0.3072087178
209	0.3071908653
210	0.3071646545
211	0.3071396346
212	0.3071148505
213	0.3070883822
214	0.3070577226
215	0.307032017
216	0.3070079162
217	0.3069801848
218	0.3069462844
219	0.3069330009
220	0.3068965935
221	0.3068818736
222	0.3068532063
223	0.3068309244
224	0.3067985013
225	0.3067745063
226	0.3067554846
227	0.3067351347
228	0.3067209201
229	0.3067023892
230	0.3066595746
231	0.3066331857
232	0.3066122295
233	0.3065818876
234	0.3065568196
235	0.3065419746
236	0.3065245937
237	0.3064971654
238	0.3064759013
239	0.3064470703
240	0.3064208137
241	0.3063995135
242	0.3063759083
243	0.3063511627
244	0.3063252334
245	0.3062910491
246	0.3062597736
247	0.3062358388
248	0.3062162132
249	0.3061859458
250	0.3061640946
251	0.3061468918
252	0.3061216602
253	0.306102073
254	0.3060821466
255	0.3060642171
256	0.3060281465
257	0.3060103855
258	0.3059840616
259	0.3059658723
260	0.3059532986
261	0.3059320922
262	0.3059224755
263	0.3059039181
264	0.3058646908
265	0.3058371061
266	0.305810313
267	0.3057933339
268	0.305770862
269	0.3057426758
270	0.3057247728
271	0.3056971473
272	0.3056837315
273	0.3056651789
274	0.3056524969
275	0.3056430943
276	0.3056216232
277	0.3056006021
278	0.3055793644
279	0.3055667234
280	0.3055296374
281	0.3055047643
282	0.305490682
283	0.3054697475
284	0.3054447998
285	0.3054311169
286	0.3054064555
287	0.3053825376
288	0.3053557782
289	0.3053375913
290	0.3053204703
291	0.3053115585
292	0.3052866517
293	0.3052601112
294	0.3052274042
295	0.3052056588
296	0.3051840627
297	0.3051475999
298	0.3051266485
299	0.3051153789
300	0.3050968335
301	0.3050807302
302	0.3050641337
303	0.3050340444
304	0.3050101072
305	0.3049835571
306	0.3049731776
307	0.3049560686
308	0.3049331997
309	0.3049169833
310	0.3049009715
311	0.3048847407
312	0.3048635343
313	0.3048405859
314	0.3048299683
315	0.3048218385
